x	y_obs	y_bkg
32.371	1118	1157.634
32.388	1141	1158.965
32.405	1136	1160.428
32.422	1131	1162.04
32.439	1149	1163.82
32.456	1167	1165.794
32.473	1130	1167.989
32.49	1178	1170.441
32.507	1209	1173.188
32.524	1176	1176.28
32.541	1166	1179.776
32.558	1186	1183.747
32.575	1163	1188.283
32.592	1205	1193.494
32.609	1194	1199.514
32.626	1177	1206.519
32.643	1260	1214.727
32.66	1213	1224.422
32.677	1225	1235.975
32.694	1295	1249.867
32.711	1309	1266.747
32.728	1269	1287.487
32.745	1243	1313.274
32.762	1311	1345.745
32.779	1322	1387.135
32.796	1423	1440.52
32.813	1472	1509.997
32.83	1645	1600.687
32.847	1703	1717.978
32.864	1911	1864.535
32.881	2053	2033.129
32.898	2226	2195.095
32.915	2228	2297.299
32.932	2331	2291.612
32.949	2171	2181.016
32.966	2000	2016.357
32.983	1873	1849.043
33	1702	1705.213
33.017	1591	1590.665
33.034	1494	1502.243
33.051	1402	1434.504
33.068	1373	1382.413
33.085	1399	1341.977
33.102	1310	1310.211
33.119	1248	1284.946
33.136	1269	1264.597
33.153	1262	1248.012
33.17	1211	1234.343
33.187	1216	1222.96
33.204	1220	1213.394
33.221	1221	1205.285
33.238	1208	1198.356
33.255	1172	1192.392
33.272	1164	1187.223
33.289	1188	1182.718
33.306	1212	1178.767
33.323	1204	1175.285
33.34	1215	1172.2
33.357	1160	1169.454
33.374	1157	1167.001
33.391	1203	1164.8
33.408	1248	1162.817
33.425	1158	1161.025
33.442	1169	1159.401
33.459	1203	1157.923
33.476	1194	1156.575
33.493	1207	1155.342
33.51	1172	1154.211
33.527	1141	1153.171
33.544	1148	1152.213
33.561	1242	1151.329
33.578	1184	1150.51
33.595	1213	1149.75
33.612	1206	1149.044
33.629	1141	1148.388
33.646	1164	1147.775
33.663	1190	1147.203
33.68	1158	1146.668
33.697	1112	1146.166
33.714	1249	1145.695
33.731	1144	1145.253
33.748	1202	1144.837
33.765	1138	1144.445
33.782	1163	1144.075
33.799	1244	1143.726
33.816	1218	1143.395
33.833	1143	1143.083
33.85	1139	1142.786
33.867	1192	1142.505
33.884	1113	1142.238
33.901	1123	1141.984
33.918	1101	1141.743
33.935	1125	1141.513
33.952	1187	1141.294
33.969	1169	1141.085
33.986	1168	1140.885
34.003	1160	1140.694
34.02	1154	1140.512
34.037	1156	1140.338
34.054	1135	1140.171
34.071	1146	1140.01
34.088	1154	1139.857
34.105	1157	1139.71
34.122	1160	1139.568
