x	y_obs
40.31	1156
40.327	1150
40.344	1192
40.361	1216
40.378	1167
40.395	1169
40.412	1176
40.429	1203
40.446	1193
40.463	1190
40.48	1151
40.497	1133
40.514	1234
40.531	1313
40.548	1260
40.565	1279
40.582	1323
40.599	1259
40.616	1307
40.633	1267
40.65	1248
40.667	1305
40.684	1256
40.701	1264
40.718	1278
40.735	1221
40.752	1202
40.769	1258
40.786	1196
40.803	1174
40.82	1194
40.837	1177
40.854	1130
40.871	1212
40.888	1185
40.905	1118
40.922	1162
40.939	1140
40.956	1183
40.973	1227
40.99	1181
41.007	1160
41.024	1173
41.041	1200
41.058	1187
41.075	1175
41.092	1154
41.109	1168
41.126	1179
41.143	1173
41.16	1192
41.177	1179
41.194	1182
41.211	1176
41.228	1164
41.245	1161
41.262	1126
41.279	1133
41.296	1142
41.313	1179
41.33	1141
41.347	1094
41.364	1169
41.381	1166
41.398	1171
41.415	1148
41.432	1118
41.449	1167
41.466	1176
41.483	1179
41.5	1135
41.517	1179
41.534	1115
41.551	1163
41.568	1157
41.585	1173
41.602	1165
41.619	1248
41.636	1190
41.653	1218
41.67	1172
41.687	1199
41.704	1194
41.721	1195
41.738	1225
41.755	1201
41.772	1182
41.789	1216
41.806	1204
41.823	1151
41.84	1222
41.857	1155
41.874	1123
41.891	1136
41.908	1177
41.925	1136
41.942	1118
41.959	1156
41.976	1175
41.993	1222
42.01	1202
42.027	1197
42.044	1218
42.061	1193
42.078	1192
42.095	1202
42.112	1200
42.129	1150
42.146	1150
42.163	1201
42.18	1242
42.197	1201
42.214	1215
42.231	1248
42.248	1229
42.265	1282
42.282	1345
42.299	1375
42.316	1382
42.333	1379
42.35	1389
42.367	1457
42.384	1464
42.401	1608
42.418	1642
42.435	1719
42.452	1810
42.469	1912
42.486	2167
42.503	2416
42.52	2726
42.537	3095
42.554	3606
42.571	4107
42.588	4511
42.605	4790
42.622	4861
42.639	4784
42.656	4706
42.673	4284
42.69	4015
42.707	3713
42.724	3419
42.741	3144
42.758	2884
42.775	2690
42.792	2461
42.809	2408
42.826	2488
42.843	2574
42.86	2750
42.877	2978
42.894	3340
42.911	3646
42.928	4245
42.945	4803
42.962	5465
42.979	6200
42.996	6930
43.013	7607
43.03	7912
43.047	7959
43.064	7926
43.081	7583
43.098	7148
43.115	6744
43.132	6153
43.149	5476
43.166	4922
43.183	4363
43.2	3823
43.217	3330
43.234	2877
43.251	2597
43.268	2348
43.285	2127
43.302	1961
43.319	1842
43.336	1700
43.353	1597
43.37	1533
43.387	1437
43.404	1403
43.421	1365
43.438	1399
43.455	1258
43.472	1301
43.489	1336
43.506	1262
43.523	1265
43.54	1221
43.557	1275
43.574	1232
43.591	1239
43.608	1208
43.625	1272
43.642	1173
43.659	1208
43.676	1177
43.693	1148
43.71	1153
43.727	1195
43.744	1171
43.761	1184
43.778	1140
43.795	1173
43.812	1196
43.829	1223
43.846	1184
43.863	1161
43.88	1145
43.897	1124
43.914	1158
43.931	1175
43.948	1192
43.965	1196
43.982	1198
43.999	1190
44.016	1148
44.033	1199
44.05	1210
44.067	1147
44.084	1140
44.101	1161
44.118	1151
44.135	1185
44.152	1204
44.169	1176
44.186	1236
44.203	1277
44.22	1213
44.237	1189
44.254	1241
44.271	1253
44.288	1239
44.305	1303
44.322	1316
44.339	1305
44.356	1313
44.373	1325
44.39	1342
44.407	1268
44.424	1382
44.441	1344
44.458	1431
44.475	1470
44.492	1606
44.509	1639
44.526	1704
44.543	1906
44.56	2098
44.577	2400
44.594	2693
44.611	3065
44.628	3524
44.645	3805
44.662	3809
44.679	3517
44.696	3234
44.713	2845
44.73	2505
44.747	2270
44.764	2046
44.781	1860
44.798	1685
44.815	1657
44.832	1553
44.849	1494
44.866	1469
44.883	1451
44.9	1456
44.917	1446
44.934	1393
44.951	1420
44.968	1499
44.985	1577
45.002	1607
45.019	1632
45.036	1729
45.053	1787
45.07	1777
45.087	1788
45.104	1751
45.121	1684
45.138	1648
45.155	1594
45.172	1501
45.189	1461
45.206	1417
45.223	1343
45.24	1328
45.257	1287
45.274	1259
45.291	1293
45.308	1244
45.325	1159
45.342	1161
45.359	1237
45.376	1218
45.393	1140
45.41	1206
45.427	1198
45.444	1161
45.461	1197
45.478	1193
45.495	1172
45.512	1087
45.529	1183
45.546	1167
45.563	1157
45.58	1149
45.597	1210
45.614	1134
45.631	1149
45.648	1163
45.665	1167
45.682	1143
45.699	1190
45.716	1185
45.733	1212
45.75	1221
45.767	1170
45.784	1125
45.801	1149
45.818	1169
45.835	1171
45.852	1212
45.869	1128
45.886	1150
45.903	1169
45.92	1108
45.937	1097
45.954	1110
45.971	1102
45.988	1111
46.005	1122
46.022	1104
46.039	1120
46.056	1152
46.073	1159
46.09	1144
46.107	1140
46.124	1155
46.141	1167
46.158	1148
46.175	1127
46.192	1125
46.209	1126
46.226	1153
46.243	1127
46.26	1171
46.277	1135
46.294	1120
46.311	1098
46.328	1126
46.345	1119
46.362	1149
46.379	1144
46.396	1128
46.413	1147
46.43	1149
46.447	1172
46.464	1096
46.481	1168
46.498	1144
46.515	1166
46.532	1197
46.549	1174
46.566	1168
46.583	1167
46.6	1145
46.617	1127
46.634	1120
46.651	1133
46.668	1130
46.685	1124
46.702	1124
46.719	1116
46.736	1178
46.753	1153
46.77	1151
46.787	1185
46.804	1166
46.821	1168
46.838	1181
46.855	1170
46.872	1180
46.889	1200
46.906	1159
46.923	1163
46.94	1162
46.957	1179
46.974	1234
46.991	1230
47.008	1243
47.025	1205
47.042	1232
47.059	1297
47.076	1277
47.093	1305
47.11	1351
47.127	1424
47.144	1446
47.161	1509
47.178	1540
47.195	1587
47.212	1621
47.229	1716
47.246	1677
47.263	1676
47.28	1683
47.297	1615
47.314	1588
47.331	1505
47.348	1485
47.365	1469
47.382	1460
47.399	1420
47.416	1379
47.433	1286
47.45	1266
47.467	1217
47.484	1311
47.501	1229
47.518	1241
47.535	1197
47.552	1228
47.569	1190
47.586	1172
47.603	1163
47.62	1212
47.637	1123
47.654	1152
47.671	1140
47.688	1122
47.705	1126
47.722	1125
47.739	1173
47.756	1113
47.773	1106
47.79	1139
47.807	1121
47.824	1119
47.841	1103
47.858	1125
47.875	1097
47.892	1118
47.909	1107
47.926	1067
47.943	1054
47.96	1085
47.977	1161
47.994	1164
48.011	1098
48.028	1121
48.045	1129
48.062	1136
48.079	1101
48.096	1116
48.113	1139
48.13	1154
48.147	1110
48.164	1139
48.181	1132
48.198	1111
48.215	1146
48.232	1118
48.249	1148
48.266	1156
48.283	1146
48.3	1143
48.317	1088
48.334	1075
48.351	1158
48.368	1064
48.385	1112
48.402	1133
48.419	1166
48.436	1198
48.453	1095
48.47	1134
48.487	1115
48.504	1115
48.521	1159
48.538	1181
48.555	1064
48.572	1108
48.589	1142
48.606	1113
48.623	1146
48.64	1135
48.657	1141
48.674	1106
48.691	1141
48.708	1192
48.725	1155
48.742	1096
48.759	1145
48.776	1114
